a bit	m?t chút, m?t it
a few	m?t ít
a little	nh?, m?t ít
abandon	b?, t? b?
abandoned	b? b? roi, b? ru?ng b?
ability	kh? nang, nang l?c
able	có nang l?c, có tài
about	kho?ng, v?
above	? trên, lên trên
abroad	?, ra nu?c ngoài, ngoài tr?i
absence	s? v?ng m?t
absent	v?ng m?t, ngh?
absolute	tuy?t d?i, hoàn toàn
absolutely	tuy?t d?i, hoàn toàn
absorb	thu hút, h?p thu, lôi cu?n
abuse	l?ng hành, l?m d?ng
academic	thu?c h?c vi?n, dh, vi?n hàn lâm
accent	tr?ng âm, d?u tr?ng âm
accept	ch?p nh?n, ch?p thu?n
acceptable	có th? ch?p nh?n, ch?p thu?n
access	l?i, c?a, du?ng vào
accident	tai n?n, r?i ro
accidental	tình c?, b?t ng?
accidentally	tình c?, ng?u nhiên
accommodation	s? thích nghi, di?u ti?t
accompany	di theo, di cùng, kèm theo
according to	theo, y theo
account	tài kho?n, k? toán; tính toán, tính d?n
accurate	dúng d?n, chính xác, xác dáng
accurately	dúng d?n, chính xác
accuse	t? cáo, bu?c t?i, k?t t?i
achieve	d?t du?c, dành du?c
achievement	thành tích, thành t?u
acid	axit
acknowledge	công nh?n, th?a nh?n
acquire	dành du?c, d?t du?c, ki?m du?c
across	qua, ngang qua
act	hành d?ng, hành vi, c? ch?, d?i x?
action	hành d?ng, hành vi, tác d?ng
active	tích c?c ho?t d?ng, nhanh nh?n
actor	di?n viên
actress	di?n viên
actual	th?c t?, có th?t
actually	hi?n nay, hi?n t?i
adapt	tra, l?p vào
add	c?ng, thêm vào
addition	tính c?ng, phép c?ng
additional	thêm vào, tang thêm
address	d?a ch?, d? d?a ch?
adequate	d?y, d?y d?
adequately	tuong x?ng, th?a dáng
adjust	s?a l?i cho dúng, di?u ch?nh
admiration	s? khâm ph?c,ngu?i kp, thán ph?c
admire	khâm ph?c, thán ph?c
admit	nh?n vào, cho vào, k?t h?p
adopt	nh?n làm con nuôi, b? m? nuôi
adult	ngu?i l?n, ngu?i tru?ng thành; tru?ng thành
advance	s? ti?n b?, ti?n lên; dua lên, d? xu?t
advanced	tiên ti?n, ti?n b?, c?p cao
advantage	s? thu?n l?i, l?i ích, l?i th?
adventure	s? phiêu luu, m?o hi?m
advertise	báo cho bi?t, báo cho bi?t tru?c
advertisement	qu?ng cáo
advertising	s? qu?ng cáo, ngh? qu?ng cáo
advice	l?i khuyên, l?i ch? b?o
advise	khuyên, khuyên b?o, ran b?o
affair	vi?c
affect	làm ?nh hu?ng, tác d?ng d?n
afford	có th?, có d? kh? nang, di?u ki?n
afraid	s?, s? hãi, ho?ng s?
after	sau, d?ng sau, sau khi
afternoon	bu?i chi?u
afterwards	sau này, v? sau, r?i thì, sau d?y
again	l?i, n?a, l?n n?a
against	ch?ng l?i, ph?n d?i
age	tu?i
aged	già di
agency	tác d?ng, l?c; môi gi?i, trung gian
agent	d?i lý, tác nhân
aggressive	xâm lu?c, hung hang
ago	tru?c dây
agree	d?ng ý, tán thành
agreement	s? d?ng ý, tán thành; hi?p d?nh, h?p d?ng
ahead	tru?c, v? phía tru?c
aid	s? giúp d?; thêm vào, ph? vào
aim	s? nh?m , m?c tiêu, ý d?nh; nh?m, t?p trung, hu?ng vào
air	không khí, b?u không khí, không gian
aircraft	máy bay, khí c?u
alarm	báo d?ng, báo nguy
alarming	làm lo s?, làm h?t ho?ng, làm s? hãi
alcohol	ru?u c?n
alcoholic	ru?u; ngu?i nghi?n ru?u
alive	s?ng, v?n còn s?ng, còn t?n t?i
all	t?t c?
all right	t?t, ?n, kh?e m?nh; du?c
allied	lien minh, d?ng minh, thông
allow	cho phép, d? cho
ally	nu?c d?ng minh, liên minh; liên k?t, lien minh, k?t thông gia
alo	nghe
alone	cô don, m?t mình
along	d?c theo, theo; theo chi?u dài, su?t theo
alongside	sát c?nh, k? bên, d?c theo
aloud	l?n ti?ng, to ti?ng
alphabet	b?ng ch? cái, bu?c d?u, di?u co b?n
alphabetical	thu?c b?ng ch? cái
alphabetically	theo th? t? abc
already	dã, r?i, dã… r?i
also	cung, cung v?y, cung th?
alter	thay d?i, bi?n d?i, s?a d?i
alternative	s? l?a ch?n; l?a ch?n
although	m?c dù, d?u cho
altogether	hoàn toàn, h?u nhu; nói chung
always	luôn luôn
amaze	làm ng?c nhiên, làm s?ng s?t
amazed	kinh ng?c, s?ng s?t
amazing	kinh ng?c, s?ng s?t
ambition	hoài bão, khát v?ng
ambulance	xe c?u thuong, xe c?p c?u
among	gi?a, ? gi?a
amount	s? lu?ng, s? nhi?u; lên t?i
amuse	làm cho vui, thích, làm bu?n cu?i
amused	vui thích
amusing	vui thích
analyse	phân tích
analysis	s? phân tích
ancient	xua, c?
and	và
anger	s? t?c gi?n, s? gi?n d?
angle	góc
angrily	t?c gi?n, gi?n d?
angry	gi?n, t?c gi?n
animal	d?ng v?t, thú v?t
ankle	m?t cá chân
anniversary	ngày, l? k? ni?m
announce	báo, thông báo
annoy	ch?c t?c, làm b?c mình; làm phi?n, qu?y nhi?u
annoyed	b? khó ch?u, b?c mình, b? qu?y r?y
annoying	ch?c t?c, làm b?c mình; làm phi?n, qu?y nhi?u
annual	hàng nam, t?ng nam
annually	hàng nam, t?ng nam
another	khác
answer	s? tr? l?i; tr? l?i
anti- prefix	ch?ng l?i
anticipate	th?y tru?c, ch?n tru?c, lu?ng tru?c
anxiety	m?i lo âu, s? lo l?ng
anxious	lo âu, lo l?ng, ban khoan
anxiously	lo âu, lo l?ng, ban khoan
any	m?t ngu?i, v?t nào dó; b?t c?; m?t chút nào, tí nào
anyone	ngu?i nào, b?t c? ai
anything	vi?c gì, v?t gì; b?t c? vi?c gì, v?t gì
anyway	th? nào cung du?c, dù sao chang n?a
anywhere	b?t c? ch? nào, b?t c? noi dâu
apart	v? m?t bên, qua m?t bên
apart from	ngoài… ra
apartment	can phòng, can bu?ng
apologize	xin l?i, t? l?i
apparent	rõ ràng, rành m?ch; b? ngoài, có v?
apparently	nhìn bên ngoài, hình nhu
appeal	s? kêu g?i, l?i kêu g?i; kêu g?i, c?u kh?n
appear	xu?t hi?n, hi?n ra, trình di?n
appearance	s? xu?t hi?n, s? trình di?n
apple	qu? táo
application	s? g?n vào, v?t g?n vào; s? chuyên c?n, chuyên tâm
apply	g?n vào, ghép vào, áp d?ng vào
appoint	b? nhi?m, ch? d?nh, ch?n
appointment	s? b? nhi?m, ngu?i du?c b? nhi?m
appreciate	th?y rõ; nh?n th?c
approach	d?n g?n, l?i g?n; s? d?n g?n, s? l?i g?n
appropriate	thích h?p, thích dáng
approval	s? tán thành, d?ng ý, s? ch?p thu?n
approve	tán thành, d?ng ý, ch?p thu?n
approving	tán thành, d?ng ý, ch?p thu?n
approximate	gi?ng v?i, gi?ng h?t v?i
approximately	kho?ng ch?ng, d? ch?ng
april	tháng tu
area	di?n tích, b? m?t
argue	ch?ng t?, ch? rõ
argument	lý l?
arise	xu?t hi?n, n?y ra, n?y sinh ra
arm	cánh tay; vu trang, trang b?
armed	vu trang
arms	vu khí, binh gi?i, binh khí
army	quân d?i
around	xung quanh, vòng quanh
arrange	s?p x?p, s?p d?t, s?a so?n
arrangement	s? s?p x?p, s?p d?t, s? s?a so?n
arrest	b?t gi?, s? b?t gi?
